Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Cox's Bazar DistrictFebruary 2017,Cox's Bazar District,February 2017,718,0,137,34,1949,3394,1170,1910,2252,5519,75,430,211,278,81,53,117,117
Rangamati DistrictFebruary 2017,Rangamati District,February 2017,33,0,35,27,553,749,117,224,374,492,34,446,7,9,2,9,15,16
Khagrachhari DistrictFebruary 2017,Khagrachhari District,February 2017,20,0,67,3,537,1749,0,306,780,2244,22,277,66,19,9,0,2,1
Bandarban DistrictFebruary 2017,Bandarban District,February 2017,0,0,34,8,526,1226,4,237,407,603,71,150,38,7,2,3,3,2
Chittagong DivisionFebruary 2017,Chittagong Division,February 2017,1963,879,1895,648,17710,61067,2542,9177,15159,27183,1277,4306,1558,1335,438,592,773,905
Brahmanbaria DistrictMarch 2017,Brahmanbaria District,March 2017,0,0,75,46,1303,3585,59,1179,2045,3416,34,269,86,175,66,45,58,99
Comilla DistrictMarch 2017,Comilla District,March 2017,151,151,177,67,3330,11150,1527,1609,2691,4914,286,626,196,173,86,58,64,68
Chandpur DistrictMarch 2017,Chandpur District,March 2017,90,35,194,88,2188,3909,212,489,872,1681,247,213,54,126,48,119,167,210
Feni DistrictMarch 2017,Feni District,March 2017,81,0,114,195,1477,2879,312,822,1184,1875,66,429,253,120,2,16,185,134
Noakhali DistrictMarch 2017,Noakhali District,March 2017,99,0,126,89,1321,16154,40,1261,1762,2388,113,392,92,131,93,44,32,55
Lakshmipur DistrictMarch 2017,Lakshmipur District,March 2017,186,21,130,75,1587,3636,305,604,644,1278,6,339,66,13,8,11,8,47
Chittagong DistrictMarch 2017,Chittagong District,March 2017,793,200,419,286,14322,14478,272,1551,3425,3887,187,1684,395,339,61,189,181,228
Cox's Bazar DistrictMarch 2017,Cox's Bazar District,March 2017,972,4,156,47,2481,4831,1132,1750,2075,6383,110,504,272,313,92,50,152,153
Rangamati DistrictMarch 2017,Rangamati District,March 2017,44,87,53,22,490,1025,183,204,243,492,82,476,58,8,5,13,15,19
Khagrachhari DistrictMarch 2017,Khagrachhari District,March 2017,23,0,68,6,423,1581,6,265,818,2059,10,320,29,24,13,0,2,3
Bandarban DistrictMarch 2017,Bandarban District,March 2017,0,0,28,10,654,1171,30,255,359,730,30,188,60,25,1,2,4,3
Chittagong DivisionMarch 2017,Chittagong Division,March 2017,2439,498,1540,931,29576,64399,4078,9989,16118,29103,1171,5440,1561,1447,475,547,868,1019
Brahmanbaria DistrictApril 2017,Brahmanbaria District,April 2017,71,0,101,25,1555,4143,12,1109,1879,3239,42,309,119,117,52,75,67,93
Comilla DistrictApril 2017,Comilla District,April 2017,0,8,179,55,3397,13347,1299,1321,2338,4634,237,633,334,184,79,93,69,88
Chandpur DistrictApril 2017,Chandpur District,April 2017,68,0,187,69,1796,3883,145,578,844,1328,231,207,104,96,35,130,128,126
Feni DistrictApril 2017,Feni District,April 2017,92,0,89,389,769,3014,433,1056,1129,1486,163,389,294,109,7,38,130,230
Noakhali DistrictApril 2017,Noakhali District,April 2017,256,6,154,82,1205,16441,66,1404,1516,1619,59,460,73,220,103,46,33,58
Lakshmipur DistrictApril 2017,Lakshmipur District,April 2017,197,18,643,74,1719,4101,58,600,677,1144,7,290,89,29,11,7,12,23
Chittagong DistrictApril 2017,Chittagong District,April 2017,491,0,440,238,3986,17102,1395,1307,3550,4174,323,2289,459,320,35,171,207,204
Cox's Bazar DistrictApril 2017,Cox's Bazar District,April 2017,843,2,142,49,2126,4197,1014,1751,2254,6413,47,425,215,268,71,51,104,127
Rangamati DistrictApril 2017,Rangamati District,April 2017,36,10,51,17,421,947,26,104,186,416,80,328,83,11,1,12,21,25
Khagrachhari DistrictApril 2017,Khagrachhari District,April 2017,24,0,66,2,574,1709,25,253,715,1873,0,352,30,21,7,8,8,9
Bandarban DistrictApril 2017,Bandarban District,April 2017,23,0,22,8,702,1399,91,243,372,759,87,183,31,5,0,2,5,11
Chittagong DivisionApril 2017,Chittagong Division,April 2017,2101,44,2074,1008,18250,70283,4564,9726,15460,27085,1276,5865,1831,1380,401,633,784,994
Brahmanbaria DistrictMay 2017,Brahmanbaria District,May 2017,57,0,108,31,2042,3062,48,1050,1754,3267,5,290,93,119,38,51,67,75
Comilla DistrictMay 2017,Comilla District,May 2017,215,195,131,72,2722,9911,816,1289,2208,4405,205,491,249,190,55,67,63,93
Chandpur DistrictMay 2017,Chandpur District,May 2017,70,0,120,49,2304,3126,84,319,542,1130,114,155,27,75,16,76,69,96
Feni DistrictMay 2017,Feni District,May 2017,93,4,99,387,980,2920,323,1036,1116,1381,111,420,218,121,5,13,21,115
Noakhali DistrictMay 2017,Noakhali District,May 2017,174,5,209,58,1491,19160,74,1478,1938,3129,55,494,49,203,60,46,32,51
Lakshmipur DistrictMay 2017,Lakshmipur District,May 2017,132,13,94,65,2695,4995,62,613,548,1068,0,231,33,8,1,14,11,9
Chittagong DistrictMay 2017,Chittagong District,May 2017,776,0,459,189,3004,15598,291,1152,2885,3855,314,1268,180,318,35,185,196,253
Cox's Bazar DistrictMay 2017,Cox's Bazar District,May 2017,836,0,165,43,2303,4593,894,1679,1944,6106,114,211,106,243,98,65,137,135
Rangamati DistrictMay 2017,Rangamati District,May 2017,44,1,41,22,390,936,43,144,266,464,111,375,37,3,0,16,22,27
Khagrachhari DistrictMay 2017,Khagrachhari District,May 2017,18,0,66,128,216,1701,4,278,944,1869,11,357,32,32,8,5,7,15
Bandarban DistrictMay 2017,Bandarban District,May 2017,0,0,16,8,787,1291,25,296,474,857,10,111,60,7,0,14,1,6
Chittagong DivisionMay 2017,Chittagong Division,May 2017,2415,218,1508,1052,18934,67293,2664,9334,14619,27531,1050,4403,1084,1319,316,552,626,875
Brahmanbaria DistrictJune 2017,Brahmanbaria District,June 2017,57,0,93,21,1939,2398,2512,957,1851,3329,90,290,62,135,56,79,76,93
Comilla DistrictJune 2017,Comilla District,June 2017,245,236,167,30,2746,11558,352,2554,2526,4313,297,487,325,64,29,46,43,68
Chandpur DistrictJune 2017,Chandpur District,June 2017,71,43,114,102,1984,2918,167,396,550,987,132,151,139,89,59,96,89,92
Feni DistrictJune 2017,Feni District,June 2017,101,0,102,347,1080,2360,42,1081,1085,1370,32,314,129,114,4,17,40,112
Noakhali DistrictJune 2017,Noakhali District,June 2017,183,4,127,48,1618,13090,40,1289,1854,2361,100,500,67,153,101,35,27,31
Lakshmipur DistrictJune 2017,Lakshmipur District,June 2017,294,13,106,73,2548,3882,5,618,653,1136,24,209,28,46,8,34,26,30
Chittagong DistrictJune 2017,Chittagong District,June 2017,636,8,422,130,5764,15242,1038,1579,3225,4383,399,1179,551,295,55,143,172,218
Cox's Bazar DistrictJune 2017,Cox's Bazar District,June 2017,761,21,165,23,1971,4060,1419,1562,1922,5101,103,296,117,204,85,80,161,171
Rangamati DistrictJune 2017,Rangamati District,June 2017,31,4,55,20,391,690,36,104,135,272,145,349,55,12,1,12,24,25
Khagrachhari DistrictJune 2017,Khagrachhari District,June 2017,22,0,69,2,418,2442,15,249,698,2392,0,308,27,36,9,6,4,8
Bandarban DistrictJune 2017,Bandarban District,June 2017,18,32,16,8,844,1196,49,261,362,396,25,100,87,26,16,8,15,7
Chittagong DivisionJune 2017,Chittagong Division,June 2017,2419,361,1436,804,21303,59836,5675,10650,14861,26040,1347,4183,1587,1174,423,556,677,855
Brahmanbaria DistrictJuly 2017,Brahmanbaria District,July 2017,71,0,88,28,1658,3319,39,1044,1630,3284,12,282,76,174,55,177,74,104
Comilla DistrictJuly 2017,Comilla District,July 2017,187,172,165,52,2709,15611,1414,1610,2651,4714,80,567,278,92,37,55,39,74
Chandpur DistrictJuly 2017,Chandpur District,July 2017,133,0,163,73,3178,4472,297,518,812,1308,119,359,211,174,32,127,119,167
Feni DistrictJuly 2017,Feni District,July 2017,365,109,102,69,764,2891,154,974,1111,2015,15,305,279,89,1,5,17,72
Noakhali DistrictJuly 2017,Noakhali District,July 2017,138,0,171,85,3307,6337,41,1048,1839,2301,128,349,79,118,54,69,56,64
Lakshmipur DistrictJuly 2017,Lakshmipur District,July 2017,173,14,149,77,2393,3966,29,800,908,1618,20,243,73,13,1,12,20,20
Chittagong DistrictJuly 2017,Chittagong District,July 2017,918,134,472,219,5296,17221,438,1433,2737,3426,253,869,491,348,39,164,171,229
Cox's Bazar DistrictJuly 2017,Cox's Bazar District,July 2017,803,4,209,96,3009,4300,1019,1725,2086,5191,16,357,235,259,108,112,209,182
Rangamati DistrictJuly 2017,Rangamati District,July 2017,9,5,32,21,505,751,77,149,275,411,9,417,64,6,4,16,26,27
Khagrachhari DistrictJuly 2017,Khagrachhari District,July 2017,21,0,71,6,543,1925,6,263,683,1828,0,408,28,33,123,1,4,5
Bandarban DistrictJuly 2017,Bandarban District,July 2017,0,0,13,11,492,1753,262,298,500,844,70,203,150,11,2,5,3,4
Chittagong DivisionJuly 2017,Chittagong Division,July 2017,2818,438,1635,737,23854,62546,3776,9862,15232,26940,722,4359,1964,1317,456,743,738,948
Brahmanbaria DistrictAugust 2017,Brahmanbaria District,August 2017,78,0,96,31,3065,3605,68,1113,1698,3240,17,305,45,93,28,76,96,153
Comilla DistrictAugust 2017,Comilla District,August 2017,186,178,144,47,3121,16911,706,1683,2938,5023,2518,577,325,77,62,81,60,88
Chandpur DistrictAugust 2017,Chandpur District,August 2017,497,24,173,106,2296,5379,321,476,685,1133,179,301,211,222,143,159,158,171
Feni DistrictAugust 2017,Feni District,August 2017,101,0,92,102,1164,3136,52,909,962,1717,10,338,358,72,2,37,63,96
Noakhali DistrictAugust 2017,Noakhali District,August 2017,175,28,219,95,6089,7412,49,1260,2020,2769,52,500,86,165,56,71,77,61
Lakshmipur DistrictAugust 2017,Lakshmipur District,August 2017,255,11,163,93,2353,3943,440,1532,2073,4166,445,341,54,35,0,29,29,30
Chittagong DistrictAugust 2017,Chittagong District,August 2017,1166,66,510,186,5133,17266,2187,1437,3054,3906,33549,1244,292,346,48,203,155,279
Cox's Bazar DistrictAugust 2017,Cox's Bazar District,August 2017,888,0,230,178,2359,6403,1195,1814,2385,5727,362,241,120,377,98,99,220,168
Rangamati DistrictAugust 2017,Rangamati District,August 2017,4,49,44,19,433,837,156,148,453,567,74,381,55,8,1,16,23,21
Khagrachhari DistrictAugust 2017,Khagrachhari District,August 2017,23,0,79,25,632,2150,0,330,707,1777,42,383,42,104,16,2,9,9
Bandarban DistrictAugust 2017,Bandarban District,August 2017,0,0,25,11,622,1336,52,313,499,907,150,172,23,30,0,3,2,6
Chittagong DivisionAugust 2017,Chittagong Division,August 2017,3373,356,1775,893,27267,68378,5226,11015,17474,30932,37398,4783,1611,1529,454,776,892,1082
Brahmanbaria DistrictSeptember 2017,Brahmanbaria District,September 2017,73,0,87,18,2544,3015,107,1068,1796,3561,56,168,73,96,31,64,85,89
Comilla DistrictSeptember 2017,Comilla District,September 2017,225,205,184,74,3715,14179,1402,1348,2933,5067,256,507,338,57,38,85,101,76
Chandpur DistrictSeptember 2017,Chandpur District,September 2017,54,0,147,76,2689,4343,197,460,697,1230,115,223,73,148,24,121,89,132
Feni DistrictSeptember 2017,Feni District,September 2017,108,0,104,93,1463,2633,40,819,1011,1667,25,462,271,49,7,29,49,97
Noakhali DistrictSeptember 2017,Noakhali District,September 2017,209,8,181,111,2323,5263,116,1493,2243,3590,70,500,68,245,98,59,49,49
Lakshmipur DistrictSeptember 2017,Lakshmipur District,September 2017,183,8,125,90,2690,3686,69,683,1007,1817,13,186,78,28,2,23,17,18
Chittagong DistrictSeptember 2017,Chittagong District,September 2017,615,0,443,1997,4191,15426,740,1342,2986,3890,774,1172,287,200,37,204,206,319
Cox's Bazar DistrictSeptember 2017,Cox's Bazar District,September 2017,231,736,173,57,3088,5457,881,1314,1598,3040,122,286,75,267,148,109,204,169
Rangamati DistrictSeptember 2017,Rangamati District,September 2017,44,3,33,15,628,1023,56,130,345,479,133,368,53,19,3,20,29,29
Khagrachhari DistrictSeptember 2017,Khagrachhari District,September 2017,25,0,78,56,470,1939,4,264,753,2269,11,353,36,28,6,2,8,6
Bandarban DistrictSeptember 2017,Bandarban District,September 2017,0,0,36,7,1091,1914,164,411,562,854,265,372,141,19,0,8,5,6
Chittagong DivisionSeptember 2017,Chittagong Division,September 2017,1767,960,1591,2594,24892,58878,3776,9332,15931,27464,1840,4597,1493,1156,394,724,842,990
Brahmanbaria DistrictOctober 2017,Brahmanbaria District,October 2017,69,0,88,62,1891,3441,78,1039,1556,3374,33,212,94,87,40,82,93,120
Comilla DistrictOctober 2017,Comilla District,October 2017,295,273,245,90,3279,13948,1914,2080,3339,5264,284,527,332,92,40,56,63,75
Chandpur DistrictOctober 2017,Chandpur District,October 2017,401,0,203,118,2719,4413,240,517,903,1660,123,208,105,84,38,119,136,105
Feni DistrictOctober 2017,Feni District,October 2017,105,0,101,97,1056,2989,162,855,1010,1671,75,560,385,70,11,29,35,90
Noakhali DistrictOctober 2017,Noakhali District,October 2017,322,6,209,97,2567,5836,57,1543,2403,3727,56,442,49,276,108,87,82,80
Lakshmipur DistrictOctober 2017,Lakshmipur District,October 2017,250,6,132,59,2501,3748,53,1572,2094,4276,0,164,88,50,5,47,46,27
Chittagong DistrictOctober 2017,Chittagong District,October 2017,974,4,460,211,4887,16762,633,1521,3164,4140,205,1092,625,964,102,325,319,231
Cox's Bazar DistrictOctober 2017,Cox's Bazar District,October 2017,1003,0,176,59,4251,6186,916,1767,2008,5448,53,311,145,416,168,106,210,195
Rangamati DistrictOctober 2017,Rangamati District,October 2017,70,10,38,27,485,861,197,256,325,491,43,367,54,4,1,21,16,24
Khagrachhari DistrictOctober 2017,Khagrachhari District,October 2017,16,0,70,7,647,1387,0,326,798,2373,27,471,23,36,4,5,2,6
Bandarban DistrictOctober 2017,Bandarban District,October 2017,29,30,38,8,961,3449,60,407,629,1005,197,172,306,36,12,13,16,23
Chittagong DivisionOctober 2017,Chittagong Division,October 2017,3534,329,1760,835,25244,63020,4310,11883,18229,33429,1096,4526,2206,2115,529,890,1018,976
Brahmanbaria DistrictNovember 2017,Brahmanbaria District,November 2017,70,0,82,44,1970,2911,114,1014,1600,2601,9,189,164,73,36,63,71,114
Comilla DistrictNovember 2017,Comilla District,November 2017,253,238,168,85,2855,15710,1874,1689,3310,5585,168,583,226,101,32,88,75,91
Chandpur DistrictNovember 2017,Chandpur District,November 2017,52,0,120,71,2119,3782,204,692,911,1421,251,190,99,51,28,113,113,91
Feni DistrictNovember 2017,Feni District,November 2017,105,0,113,69,623,2579,95,942,1033,1877,79,438,487,23,25,50,32,96
Noakhali DistrictNovember 2017,Noakhali District,November 2017,197,0,263,117,3131,7434,40,1449,1898,2821,49,345,65,106,109,124,71,86
Lakshmipur DistrictNovember 2017,Lakshmipur District,November 2017,346,10,137,74,2484,2910,40,1448,2140,4470,0,164,75,48,10,97,82,53
Chittagong DistrictNovember 2017,Chittagong District,November 2017,724,17,1595,205,4267,17810,804,1373,2800,3618,434,4317,637,564,76,307,255,356
Cox's Bazar DistrictNovember 2017,Cox's Bazar District,November 2017,270,4,142,73,3389,4950,946,1803,2158,5530,33,149,102,411,189,107,226,206
Rangamati DistrictNovember 2017,Rangamati District,November 2017,45,5,31,28,608,836,137,214,273,485,82,418,32,5,1,19,9,30
Khagrachhari DistrictNovember 2017,Khagrachhari District,November 2017,24,0,77,14,756,1406,22,313,730,2154,0,436,64,33,4,10,11,3
Bandarban DistrictNovember 2017,Bandarban District,November 2017,2,2,24,16,1074,1688,57,414,554,691,71,357,222,7,0,1,3,3
Chittagong DivisionNovember 2017,Chittagong Division,November 2017,2088,276,2752,796,23276,62016,4333,11351,17407,31253,1176,7586,2173,1422,510,979,948,1129
Brahmanbaria DistrictDecember 2017,Brahmanbaria District,December 2017,57,0,85,32,2229,2895,0,1071,1736,3386,51,94,238,74,24,68,61,69
Comilla DistrictDecember 2017,Comilla District,December 2017,240,237,214,246,3106,14962,164,1656,3173,6335,13848,512,272,79,27,56,37,92
Chandpur DistrictDecember 2017,Chandpur District,December 2017,46,0,194,65,2165,4347,225,703,1203,2288,20,193,146,63,16,113,115,96
Feni DistrictDecember 2017,Feni District,December 2017,92,0,101,46,836,2956,2,871,1031,2041,0,418,249,92,3,37,16,35
Noakhali DistrictDecember 2017,Noakhali District,December 2017,197,3,207,118,2710,5892,145,1811,2203,2992,622,152,41,135,87,77,31,54
Lakshmipur DistrictDecember 2017,Lakshmipur District,December 2017,333,85,100,76,1978,3030,37,1825,2212,4264,1924,108,39,52,15,58,49,63
Chittagong DistrictDecember 2017,Chittagong District,December 2017,901,0,586,145,5221,17246,807,3720,3509,4522,44623,2576,777,338,129,252,619,517
Cox's Bazar DistrictDecember 2017,Cox's Bazar District,December 2017,233,5,164,84,3067,5479,730,1815,2500,6003,15226,268,135,416,172,103,222,203
Rangamati DistrictDecember 2017,Rangamati District,December 2017,17,10,33,30,680,862,211,219,257,259,112,433,29,16,3,14,14,8
Khagrachhari DistrictDecember 2017,Khagrachhari District,December 2017,0,17,79,18,780,1671,0,265,740,2198,0,384,30,33,8,9,21,15
Bandarban DistrictDecember 2017,Bandarban District,December 2017,173,208,20,6,881,1612,23,258,283,512,1007,215,8,32,0,2,11,9
Chittagong DivisionDecember 2017,Chittagong Division,December 2017,2289,565,1783,866,23653,60952,2344,14214,18847,34800,77433,5353,1964,1330,484,789,1196,1161
Gopalganj DistrictJanuary 2017,Gopalganj District,January 2017,0,0,147,115,1106,2251,2,578,893,1082,0,500,37,20,13,46,44,36
Madaripur DistrictJanuary 2017,Madaripur District,January 2017,66,0,25,1,675,1862,35,98,138,136,0,465,130,65,24,34,54,37
Shariatpur DistrictJanuary 2017,Shariatpur District,January 2017,0,0,78,585,1366,1488,214,412,692,801,132,497,168,78,47,105,53,55
Faridpur DistrictJanuary 2017,Faridpur District,January 2017,44,0,207,85,1526,3768,32,1300,2083,2934,12,599,22,111,38,18,16,17
Rajbari DistrictJanuary 2017,Rajbari District,January 2017,44,0,74,70,978,2166,10,376,525,1044,0,145,96,38,36,12,16,24
Dhaka DistrictJanuary 2017,Dhaka District,January 2017,1131,93,2272,74,1692,23853,218,2195,1514,2144,1557,613,917,709,89,645,468,627
Gazipur DistrictJanuary 2017,Gazipur District,January 2017,81,39,146,439,979,4655,348,740,1196,1204,162,409,94,139,16,55,58,86
Munshiganj DistrictJanuary 2017,Munshiganj District,January 2017,12,0,192,84,736,2782,58,498,1102,2361,0,484,32,157,1,34,43,62
Narayanganj DistrictJanuary 2017,Narayanganj District,January 2017,85,0,70,36,694,5149,151,645,844,1264,6,83,99,195,10,20,32,23
Narshingdi DistrictJanuary 2017,Narshingdi District,January 2017,0,0,135,63,2329,4304,7,676,1367,1612,43,198,40,58,47,2,7,3
Manikganj DistrictJanuary 2017,Manikganj District,January 2017,2,4,213,122,876,6034,87,372,527,890,93,591,15,14,4,13,11,9
Tangail DistrictJanuary 2017,Tangail District,January 2017,0,0,370,265,3038,9652,59,1290,2038,3040,59,1250,96,298,124,152,132,152
Kishoreganj DistrictJanuary 2017,Kishoreganj District,January 2017,154,75,235,182,2791,6947,96,783,1330,1633,21,778,121,262,12,144,163,184
Dhaka DivisionJanuary 2017,Dhaka Division,January 2017,1619,211,4164,2121,18786,74911,1317,9963,14249,20145,2085,6612,1867,2144,461,1280,1097,1315
Gopalganj DistrictFebruary 2017,Gopalganj District,February 2017,9,6,130,61,849,1362,15,491,824,1009,24,477,99,39,26,66,58,54
Madaripur DistrictFebruary 2017,Madaripur District,February 2017,53,0,40,3,531,1831,6,183,128,53,0,558,40,51,13,43,36,60
Shariatpur DistrictFebruary 2017,Shariatpur District,February 2017,0,0,78,204,1316,4149,303,401,622,909,26,489,194,91,38,71,75,96
Faridpur DistrictFebruary 2017,Faridpur District,February 2017,40,0,189,86,1901,3289,76,1308,2427,3135,30,524,49,57,30,15,17,26
Rajbari DistrictFebruary 2017,Rajbari District,February 2017,26,0,83,101,748,1968,63,320,504,1148,0,182,167,47,33,17,17,23
Dhaka DistrictFebruary 2017,Dhaka District,February 2017,1211,326,2187,84,1418,23300,471,1735,1657,2318,1215,1282,797,939,104,484,495,629
Gazipur DistrictFebruary 2017,Gazipur District,February 2017,45,27,169,78,838,4945,236,541,1078,1044,144,381,162,108,11,31,30,69
Munshiganj DistrictFebruary 2017,Munshiganj District,February 2017,28,0,202,80,817,1684,100,547,1092,2179,42,601,37,385,63,37,42,62
Narayanganj DistrictFebruary 2017,Narayanganj District,February 2017,80,0,81,38,587,4849,55,559,730,1016,6,146,61,192,12,11,18,15
Narshingdi DistrictFebruary 2017,Narshingdi District,February 2017,0,0,120,51,1662,4735,17,780,1071,1621,63,310,13,43,0,4,6,3
Manikganj DistrictFebruary 2017,Manikganj District,February 2017,52,0,211,154,907,2652,196,370,515,541,17,575,7,8,5,9,13,8
Tangail DistrictFebruary 2017,Tangail District,February 2017,0,0,347,269,3746,8395,172,1201,1921,3128,2,1276,90,321,76,123,150,231
Kishoreganj DistrictFebruary 2017,Kishoreganj District,February 2017,159,93,235,208,2973,8560,219,1491,1928,3196,10,844,146,201,49,103,115,180
Dhaka DivisionFebruary 2017,Dhaka Division,February 2017,1703,452,4072,1417,18293,71719,1929,9927,14497,21297,1579,7645,1862,2482,460,1014,1072,1456
Gopalganj DistrictMarch 2017,Gopalganj District,March 2017,0,0,132,208,965,2237,31,543,765,1108,31,441,47,87,26,57,49,66
Madaripur DistrictMarch 2017,Madaripur District,March 2017,2,2,43,2,988,1359,3,4,0,0,2,493,129,53,99,24,18,38
Shariatpur DistrictMarch 2017,Shariatpur District,March 2017,80,0,324,363,1653,1670,249,133,235,267,38,456,165,101,25,97,117,134
Faridpur DistrictMarch 2017,Faridpur District,March 2017,38,0,184,93,2279,3438,45,1284,2295,3113,72,524,65,50,19,10,12,30
Rajbari DistrictMarch 2017,Rajbari District,March 2017,36,0,82,79,1415,1814,137,303,460,826,0,213,83,60,32,24,8,14
Dhaka DistrictMarch 2017,Dhaka District,March 2017,1073,312,2154,99,1335,13837,244,1964,1598,2350,992,848,632,240,42,340,341,309
Gazipur DistrictMarch 2017,Gazipur District,March 2017,147,46,162,78,896,5024,723,561,990,1077,90,489,135,82,6,67,12,94
Munshiganj DistrictMarch 2017,Munshiganj District,March 2017,23,0,257,72,781,3006,57,687,1351,2573,0,505,9,93,45,47,55,67
Narayanganj DistrictMarch 2017,Narayanganj District,March 2017,255,41,77,42,707,9423,4,295,783,783,8,178,108,222,97,31,28,30
Narshingdi DistrictMarch 2017,Narshingdi District,March 2017,0,0,147,90,2696,6087,109,791,1318,1637,27,304,32,44,8,7,14,14
Manikganj DistrictMarch 2017,Manikganj District,March 2017,0,0,224,139,965,3495,24,391,469,682,35,563,24,10,4,5,7,13
Tangail DistrictMarch 2017,Tangail District,March 2017,4,4,373,311,3653,7771,497,904,1565,2556,49,1430,113,375,65,193,149,248
Kishoreganj DistrictMarch 2017,Kishoreganj District,March 2017,185,109,265,182,3231,7236,203,1360,1820,2756,70,1025,119,297,42,169,124,163
Dhaka DivisionMarch 2017,Dhaka Division,March 2017,1843,514,4424,1758,21564,66397,2326,9220,13649,19728,1414,7469,1661,1714,510,1071,934,1220
Gopalganj DistrictApril 2017,Gopalganj District,April 2017,0,0,144,105,1011,1922,124,308,185,328,58,496,22,87,18,63,40,56
Madaripur DistrictApril 2017,Madaripur District,April 2017,2,0,56,12,468,1731,53,99,0,0,35,468,99,33,13,28,52,37
Shariatpur DistrictApril 2017,Shariatpur District,April 2017,0,0,42,27,1745,1811,330,212,302,648,28,353,151,142,72,89,71,67
Faridpur DistrictApril 2017,Faridpur District,April 2017,4,3,214,67,1330,3052,75,1258,2092,2600,43,475,17,25,10,9,4,18
Rajbari DistrictApril 2017,Rajbari District,April 2017,39,0,115,69,619,1911,29,266,445,725,0,219,80,64,37,24,12,13
Dhaka DistrictApril 2017,Dhaka District,April 2017,3187,274,2763,103,2045,44150,618,1967,1872,2876,2620,1764,2162,774,223,756,895,1043
Gazipur DistrictApril 2017,Gazipur District,April 2017,151,40,164,81,798,5226,215,696,896,1372,92,406,147,112,7,34,39,111
Munshiganj DistrictApril 2017,Munshiganj District,April 2017,23,0,217,85,875,2521,103,589,1089,2443,0,566,38,22,2,49,59,71
Narayanganj DistrictApril 2017,Narayanganj District,April 2017,227,52,66,32,829,8124,63,1085,1112,1361,61,130,83,81,77,14,7,17
Narshingdi DistrictApril 2017,Narshingdi District,April 2017,0,0,129,79,2180,5884,104,560,1161,1872,132,178,24,38,2,5,9,19
Manikganj DistrictApril 2017,Manikganj District,April 2017,377,0,204,133,1082,3408,17,339,410,670,53,576,23,27,0,11,11,18
Tangail DistrictApril 2017,Tangail District,April 2017,2,3,342,253,3983,7336,732,958,1613,2171,139,1198,66,304,109,163,143,224
Kishoreganj DistrictApril 2017,Kishoreganj District,April 2017,17,17,205,169,2815,9456,265,1395,1895,3356,43,916,93,197,20,122,100,140
Dhaka DivisionApril 2017,Dhaka Division,April 2017,4029,389,4661,1215,19780,96532,2728,9732,13072,20422,3304,7745,3005,1906,590,1367,1442,1834
Gopalganj DistrictMay 2017,Gopalganj District,May 2017,0,0,30,9,1112,3190,99,630,1061,1386,253,401,28,39,30,46,66,43
Madaripur DistrictMay 2017,Madaripur District,May 2017,1,0,19,4,753,2244,112,0,0,0,6,588,116,29,17,26,64,65
Shariatpur DistrictMay 2017,Shariatpur District,May 2017,0,0,45,25,2123,2838,269,286,362,1035,92,229,47,65,47,90,87,113
Faridpur DistrictMay 2017,Faridpur District,May 2017,344,213,223,208,3545,4327,96,1355,2485,3024,105,483,40,26,21,15,12,23
Rajbari DistrictMay 2017,Rajbari District,May 2017,47,0,94,65,802,2284,20,305,513,808,0,169,84,100,107,25,10,16
Dhaka DistrictMay 2017,Dhaka District,May 2017,1703,190,2300,101,18428,44029,368,2411,1801,2830,2352,1271,2228,661,54,711,649,692
Gazipur DistrictMay 2017,Gazipur District,May 2017,135,37,153,78,1121,5023,97,437,824,991,93,795,112,161,3,12,19,55
Munshiganj DistrictMay 2017,Munshiganj District,May 2017,26,2,239,75,967,2202,94,683,1278,2266,0,520,25,37,1,40,48,143
Narayanganj DistrictMay 2017,Narayanganj District,May 2017,223,57,69,25,1024,6097,66,676,1069,1182,69,87,82,128,62,17,12,24
Narshingdi DistrictMay 2017,Narshingdi District,May 2017,0,0,148,83,2274,6144,84,523,827,1235,0,340,17,41,0,0,9,16
Manikganj DistrictMay 2017,Manikganj District,May 2017,0,0,205,115,902,2668,58,399,480,740,5,400,28,10,0,8,7,13
Tangail DistrictMay 2017,Tangail District,May 2017,0,0,321,243,3663,9097,398,1292,2118,3382,215,1035,41,195,97,96,119,149
Kishoreganj DistrictMay 2017,Kishoreganj District,May 2017,71,13,222,173,4830,6931,189,1006,1696,3049,15,1057,94,174,28,113,141,158
Dhaka DivisionMay 2017,Dhaka Division,May 2017,2550,512,4068,1204,41544,97074,1950,10003,14514,21928,3205,7375,2942,1666,467,1199,1243,1510
Gopalganj DistrictJune 2017,Gopalganj District,June 2017,0,0,60,8,916,1133,1210,806,851,1093,91,485,26,44,21,37,29,34
Madaripur DistrictJune 2017,Madaripur District,June 2017,50,0,31,5,495,1122,201,203,235,127,8,491,53,46,18,52,34,62
