Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Pabna DistrictSeptember 2017,Pabna District,September 2017,0,0,211,113,4349,5244,0,1105,1723,3394,70,1108,13,134,21,59,91,122
Serajganj DistrictSeptember 2017,Serajganj District,September 2017,355,34,247,148,1894,6775,275,639,864,1452,3,710,98,88,12,46,66,115
Rajshahi DivisionSeptember 2017,Rajshahi Division,September 2017,1455,668,3517,938,19194,41784,1063,6910,11163,18539,627,5596,631,596,497,673,577,467
Bogra DistrictOctober 2017,Bogra District,October 2017,27,0,1884,264,3809,8666,139,2067,4025,5732,268,430,231,42,5,36,34,41
Joipurhat DistrictOctober 2017,Joipurhat District,October 2017,104,0,94,56,790,3092,0,617,966,1234,87,198,88,40,54,18,19,18
Naogaon DistrictOctober 2017,Naogaon District,October 2017,512,460,639,103,1887,4047,367,829,1293,2222,167,671,24,110,344,105,38,57
Nawabganj DistrictOctober 2017,Nawabganj District,October 2017,79,0,160,89,1764,5032,152,548,880,2008,111,1031,126,138,30,99,45,41
Rajshahi DistrictOctober 2017,Rajshahi District,October 2017,160,28,676,147,3346,5741,216,383,479,735,31,989,57,83,26,287,219,126
Natore DistrictOctober 2017,Natore District,October 2017,106,0,236,98,2446,5761,67,721,1038,1874,20,486,52,38,7,20,27,20
Pabna DistrictOctober 2017,Pabna District,October 2017,175,0,252,100,3468,5176,23,1213,1961,3546,15,482,16,106,26,108,99,144
Serajganj DistrictOctober 2017,Serajganj District,October 2017,297,99,291,185,2068,12144,215,642,910,1682,90,730,126,131,36,57,58,114
Rajshahi DivisionOctober 2017,Rajshahi Division,October 2017,1460,587,4232,1042,19578,49659,1179,7020,11552,19033,789,5017,720,688,528,730,539,561
Bogra DistrictNovember 2017,Bogra District,November 2017,124,2,1433,249,3794,8672,179,2109,4309,6215,29,727,243,40,4,33,31,33
Joipurhat DistrictNovember 2017,Joipurhat District,November 2017,115,0,81,58,968,2746,0,686,875,1163,0,175,31,12,20,16,7,5
Naogaon DistrictNovember 2017,Naogaon District,November 2017,385,504,608,56,1831,4317,149,953,1304,2270,145,886,7,213,807,154,57,73
Nawabganj DistrictNovember 2017,Nawabganj District,November 2017,84,0,140,104,1798,4928,88,656,922,1826,99,947,123,97,22,96,51,30
Rajshahi DistrictNovember 2017,Rajshahi District,November 2017,197,41,978,148,3495,5892,76,303,417,474,75,890,111,87,44,307,289,92
Natore DistrictNovember 2017,Natore District,November 2017,110,0,234,114,2966,5363,364,791,1058,2155,117,444,62,41,18,20,26,14
Pabna DistrictNovember 2017,Pabna District,November 2017,106,0,267,95,3862,4766,41,1238,1627,3012,0,470,16,183,19,94,88,126
Serajganj DistrictNovember 2017,Serajganj District,November 2017,206,77,197,144,2157,13713,317,863,1025,1648,82,476,125,91,14,56,45,105
Rajshahi DivisionNovember 2017,Rajshahi Division,November 2017,1327,624,3938,968,20871,50397,1214,7599,11537,18763,547,5015,718,764,948,776,594,478
Bogra DistrictDecember 2017,Bogra District,December 2017,34,32,1474,194,4083,8049,242,2146,4090,5936,9,696,235,41,10,31,28,34
Joipurhat DistrictDecember 2017,Joipurhat District,December 2017,98,0,84,63,856,2637,0,675,865,1068,0,142,46,7,3,16,17,15
Naogaon DistrictDecember 2017,Naogaon District,December 2017,25,0,190,101,2330,4654,38,849,1167,2009,15,493,34,33,0,13,8,11
Nawabganj DistrictDecember 2017,Nawabganj District,December 2017,132,0,165,95,1954,4351,722,591,816,1834,7,592,10,132,29,134,78,68
Rajshahi DistrictDecember 2017,Rajshahi District,December 2017,156,42,518,127,2891,5111,223,649,524,507,392,775,99,91,38,273,197,205
Natore DistrictDecember 2017,Natore District,December 2017,81,0,234,72,2625,4952,327,951,1123,2523,43,365,15,61,16,34,29,16
